model,developer,release_date,parameters,parameter_source,training_flop,confidence,confidence_explanation,estimation_method,alternative_methods,threshold_classification,reasoning,sources,verified,last_updated,blacklist_status,notes
claude_opus_4,Anthropic,,,,1.5e+26,low,Speculative research estimate,epoch_estimate,Benchmark Based: 5.04e+25 (Low),high_confidence_above_1e25,https://epoch.ai/data-insights/models-over-1e25-flop: Speculative estimate for next-gen Claude,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.046524,allowed,
gpt_5_mini,OpenAI,,,,7.329999999999999e+25,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_above_1e25,Multi-benchmark estimation from 2 benchmarks: aai_score: 9.49e+25 (Low); mmlu_pro_score: 5.17e+25 (Low) → weighted average: 7.33e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.077555,allowed,
grok_4,xAI,,,,6.749999999999999e+25,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_above_1e25,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 5.30e+25 (Low); coding_score: 5.20e+25 (Low); aai_score: 1.07e+26 (Low); mmlu_pro_score: 5.78e+25 (Low) → weighted average: 6.75e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.045994,allowed,
gpt_4.5_preview,OpenAI,,,,6.4e+25,low,Speculative research estimate,epoch_estimate,Benchmark Based: 4.75e+25 (Low),high_confidence_above_1e25,https://epoch.ai/data-insights/models-over-1e25-flop: Low-precision estimate for GPT-4.5,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.045856,allowed,
gemini_2.0_flash,Google,,,,6.000000000000001e+25,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_above_1e25,Benchmark-based estimation - official parameters not disclosed,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),y,2025-07-31T18:56:49.505562,,
deepseek_coder,DeepSeek,,671000000000.0,known_specification:deepseek,5.959999999999999e+25,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.26e+25 (Medium),high_confidence_above_1e25,"Known model specification 'deepseek': Chinchilla scaling law: 6 × 671,000,000,000 params × 14,800,000,000,000 tokens = 5.96e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-01T21:13:48.807190,,
deepseek_v3,DeepSeek,,671000000000.0,known_specification:deepseek_v3,5.959999999999999e+25,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 4.07e+25 (Low),high_confidence_above_1e25,"Known model specification 'deepseek_v3': Chinchilla scaling law: 6 × 671,000,000,000 params × 14,800,000,000,000 tokens = 5.96e+25 FLOP",https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),y,2025-08-15T20:36:24.540407,allowed,Manual review - confirmed above 1e25 FLOP. Reason: Parameter estimate is high enough to justify
gemini_2.5_flash,Google,,,,5.76e+25,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_above_1e25,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 5.04e+25 (Low); coding_score: 4.95e+25 (Low); aai_score: 7.79e+25 (Low); mmlu_pro_score: 5.23e+25 (Low) → weighted average: 5.76e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.046858,allowed,
o1,OpenAI,,,,5.559999999999999e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.55e+25 (Medium); coding_score: 4.54e+25 (Medium); aai_score: 8.88e+25 (Low); mmlu_pro_score: 5.38e+25 (Medium) → weighted average: 5.56e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),y,2025-08-04T20:23:58.155429,allowed,Manual review - confirmed above 1e25 FLOP. Reason: Known large reasoning model
gpt_5_nano,OpenAI,,,,5.55e+25,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_above_1e25,Multi-benchmark estimation from 2 benchmarks: aai_score: 6.76e+25 (Low); mmlu_pro_score: 4.34e+25 (Low) → weighted average: 5.55e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.078689,allowed,
