model,developer,release_date,parameters,parameter_source,training_flop,confidence,confidence_explanation,estimation_method,alternative_methods,threshold_classification,reasoning,sources,verified,last_updated,notes,blacklist_status
o3_mini,OpenAI,,,,4.89e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 4.09e+25 (Medium); coding_score: 4.36e+25 (Medium); aai_score: 6.51e+25 (Medium); mmlu_pro_score: 4.61e+25 (Medium) → weighted average: 4.89e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),y,2025-08-11T21:33:55.830980,Moved from above_1e25_flop.csv by manual review. Reason: It's a mini model so pretty sure it's below 1e25 FLOP,allowed
grok_3_mini,xAI,,,,4.379999999999999e+25,medium,,benchmark_based,,high_confidence_below_1e25,"Benchmark-based (openlm_arena_elo): Benchmark-based estimation: ELO 1363.0 vs reference llama_405b (ELO 1300, 3.80e+25 FLOP) with power law scaling α=3.0 = 4.38e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),y,2025-08-01T15:52:46.887087,Moved from above_1e25_flop.csv by manual review. Reason: This is a mini model so likely smaller than 1e25,
gemini_1.5_flash,Google,,,,3.11e+25,low,Distant benchmark interpolation or single source,benchmark_based,,,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 3.07e+25 (Medium); superclue_math: 2.42e+25 (Low); superclue_reasoning: 9.65e+24 (Low); superclue_code: 3.39e+25 (Medium); superclue_agents: 4.75e+25 (Medium) → weighted average: 3.11e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),y,2025-08-04T20:21:02.232619,Moved from above_1e25_flop.csv by manual review. Reason: only gemini 2.0 or later versions are over 1e25 FLOP,allowed
sora,OpenAI,,,,1.00e+25,low,Distant benchmark interpolation or single source,benchmark_based,,high_confidence_below_1e25,Multi-benchmark estimation from 2 benchmarks: video_arena_elo: 1.00e+25 (Medium); video_quality: 1.00e+25 (Medium) → weighted average: 1.00e+25 FLOP,https://artificialanalysis.ai/text-to-video/arena (Artificial Analysis Video Arena - Text-to-video model rankings),,2025-08-15T20:32:45.090648,,allowed
athene,NexusFlow,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.63e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Limited computational resources for large-scale training,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.057287,,allowed
baichuan_4,Unknown,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.10e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Models with unidentified developers cannot be evaluated for resource availability,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-15T20:32:45.092015,,allowed
command_a,Cohere,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.56e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Smaller AI company with limited computational budget for frontier models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.078368,,allowed
command_a_03,Cohere,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.90e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Smaller AI company with limited computational budget for frontier models,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.052481,,allowed
command_r,Cohere,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 1.50e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Smaller AI company with limited computational budget for frontier models,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-15T20:32:45.063444,,allowed
command_r_08,Cohere,,,,9.90e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 3.14e+25 (Low),high_confidence_below_1e25,FLOP estimate capped at 9.9e+24 due to resource constraint policy: Smaller AI company with limited computational budget for frontier models,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-15T20:32:45.062221,,allowed
