name,developer,release_date,parameters,training_flop,training_flop_confidence,estimation_method,status,reasoning,sources,benchmarks
chatgpt-4o-latest-20250326,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1443.0}"
gpt-4.5-preview-2025-02-27,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1440.0}"
gpt-4o-2024-08-06,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1334.0}"
gpt-4-0314,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1287.0}"
gpt-4-0613,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",LMArena Manual Data Collection (CSV file with manually collected leaderboard data),"{""lmarena_score"": 1277.0}"
GPT-4.1-2025-04-14,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1380.0, ""coding_score"": 1395.0, ""vision_score"": 1252.0}"
GPT-4.1-mini-2025-04-14,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1338.0, ""coding_score"": 1367.0, ""vision_score"": 1230.0}"
GPT-4o-2024-05-13,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1304.0, ""coding_score"": 1305.0, ""vision_score"": 1181.0}"
GPT-4.1-nano-2025-04-14,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1289.0, ""coding_score"": 1310.0, ""vision_score"": 1113.0}"
GPT-4-Turbo-2024-04-09,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1276.0, ""coding_score"": 1278.0, ""vision_score"": 1133.0}"
GPT-4o-mini-2024-07-18,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1291.0, ""coding_score"": 1297.0, ""vision_score"": 1110.0}"
GPT-4-0125-preview,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1268.0, ""coding_score"": 1260.0}"
GPT-4-1106-preview,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1269.0, ""coding_score"": 1269.0}"
ChatGPT-4o-latest (2025-03-26),OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1430.0, ""coding_score"": 1431.0, ""vision_score"": 1295.0}"
GPT-4.5-Preview,OpenAI,,,1.3728e+26,medium,scaling_laws,likely_above_1e25,"Known model specification: Chinchilla scaling law: 6 × 1,760,000,000,000 params × 13,000,000,000,000 tokens = 1.37e+26 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),"{""openlm_arena_elo"": 1418.0, ""coding_score"": 1418.0, ""vision_score"": 1236.0}"
